run_id,method,seed,is_smoke_test,budget,schema_valid,xdsl_files,xdsl_op_estimate,pass_tests_pass,pass_tests_total,evidence_coverage,unsupported_claim_rate,arch_rules_passed,arch_rules_failed,human_interventions,cost_usd,time_to_first_pass_s,heldout_shape_success,merlin_core_files_modified,tracking_mode,mlflow_run_id,otel_trace_id,observed_cost_usd,estimated_cost_usd,cost_source,tokens_input,tokens_output,token_source,wall_clock_seconds,time_to_first_validation_s,agent_turns,tool_calls
2026-06-08_v0_naive_claude_seed001,v0_naive_claude,1,True,cheap_smoke,True,0,0,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-08_v0_naive_claude_seed010,v0_naive_claude,10,True,cheap_smoke,True,0,0,NA,NA,NA,NA,8,2,NA,NA,NA,NA,NA,local,NA,NA,NA,NA,NA,NA,NA,NA,0.037,NA,NA,NA
