workload,op_class,region_role,M,N,K,layers_in_capture,outer_loop_K,K_source,instances_per_replan,macs_per_instance,macs_per_replan,operand_b_identity,dataflow_candidates,reduction_reuse_scope,kv_state_bytes_workload,k_reduction_needs_partial_sum,evidence
tiny_llama,linear_gemm,backbone_once,8,5632,2048,4,1,not_repeated,4,92274688,369098752,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
tiny_llama,linear_gemm,backbone_once,8,2048,5632,2,1,not_repeated,2,92274688,184549376,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
tiny_llama,linear_gemm,backbone_once,1,32000,2048,1,1,not_repeated,1,65536000,65536000,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
tiny_llama,linear_gemm,backbone_once,8,2048,2048,4,1,not_repeated,4,33554432,134217728,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
tiny_llama,linear_gemm,backbone_once,8,256,2048,4,1,not_repeated,4,4194304,16777216,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
tiny_llama,linear_gemm,repeated_head,1,32000,2048,1,7,recovered_from_ir,7,65536000,458752000,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
tiny_llama,linear_gemm,repeated_head,1,5632,2048,4,7,recovered_from_ir,28,11534336,322961408,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
tiny_llama,linear_gemm,repeated_head,1,2048,5632,2,7,recovered_from_ir,14,11534336,161480704,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
tiny_llama,linear_gemm,repeated_head,1,2048,2048,4,7,recovered_from_ir,28,4194304,117440512,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
tiny_llama,linear_gemm,repeated_head,1,256,2048,4,7,recovered_from_ir,28,524288,14680064,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),61440,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,backbone_once,1,1024,1024,1,1,not_repeated,1,1048576,1048576,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,backbone_once,1,1024,32,1,1,not_repeated,1,32768,32768,weight,weight_stationary|output_stationary|input_stationary,once_per_replan,,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,32,4096,1024,4,5,recovered_from_ir,20,134217728,2684354560,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,32,1024,4096,2,5,recovered_from_ir,10,134217728,1342177280,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,32,3072,1024,2,5,recovered_from_ir,10,100663296,1006632960,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,32,1024,1024,2,5,recovered_from_ir,10,33554432,335544320,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,30,1024,1024,1,5,recovered_from_ir,5,31457280,157286400,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,1,6144,1024,1,5,recovered_from_ir,5,6291456,31457280,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,1,1024,1024,1,5,recovered_from_ir,5,1048576,5242880,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,30,1024,32,1,5,recovered_from_ir,5,983040,4915200,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,30,32,1024,1,5,recovered_from_ir,5,983040,4915200,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,1,1024,256,1,5,recovered_from_ir,5,262144,1310720,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
xr0,linear_gemm,repeated_head,30,32,32,1,5,recovered_from_ir,5,30720,153600,weight,weight_stationary|output_stationary|input_stationary,across_K (resident-eligible),,True,"operator_shape_table.csv (shape+role) x loop_aware_contract.csv (K, KV; recovered_from_ir scf.for)"
