cache_read_share,capsules,graded_at,input_chars,l3_pass,l3_pass_carried,l3_pass_executed,latest_verdict,measured_span_s,missing_capsule_specs,output_chars,output_tokens_per_client_turnaround_s,pass_fraction,passed,provider_usage_events_available,run_id,sessions,target,think_generate_s,token_source,tokens_cache_read,tokens_cache_write,tokens_fresh_input,tokens_output,tokens_reasoning,tokens_total,tool_calls,tool_calls_unterminated,tool_concurrency_overlap_s,tool_wait_s,turnaround_p50_s,turnaround_p95_s
0.9899627863049425,61,2026-09-08T04:59:07.740274+00:00,469557,49,0,49,verdict_round_00.json,43200.6,[],3504575,23.906680018682227,0.8032786885245902,49,True,merlincirct_atlas_fresh_func_20260907,1,atlas,1368.4,response-level rollout snapshots,286857728,0,2908445,686045,275833,290452218,1650,10,135864.6,41832.2,9.889,46.815
0.9862305132018926,97,2026-09-08T05:21:36.795525+00:00,173555,89,88,0,verdict_round_01.json,29737.3,[],3894419,22.230423995400542,0.9587628865979382,93,True,merlincirct_gemmini_universal_smallread_resnet50_20260907,3,gemmini,8932.7,response-level rollout snapshots,158225920,0,2209108,287367,87759,160722395,449,2,266.6,20804.6,6.712,37.164
0.9922149178673386,29,2026-09-08T01:20:01.506964+00:00,86419,0,0,0,verdict_round_01.json,28801.2,[],1227976,21.20594839823929,0.9655172413793104,28,False,merlincirct_radiance_pr1_cohort29_20260907,2,radiance,5896.1,response-level rollout snapshots,126154112,0,989826,209912,68871,127353850,257,2,1.3,22905.1,5.833,36.167
