capsule,dtypes,failure_plane,family,input_elements,kind,l2_cycles,l2_engine,l2_sim_s,l2_status,l2_wall_s,l3_cycles,l3_engine,l3_evidence,l3_sim_s,l3_status,l3_wall_s,max_tensor_elements,numeric_status,operation,required_tiers,shape_regime,shape_signature,status,target
RP4_softmax_fp32_pt,f32,,softmax,256,model_slice,324252,cyclotron_perf_model,3.085,pass,3.208,,,not passed,,unavailable,,256,pass,softmax,L0+L1+L2,aligned,16x16,pass,radiance
RP5_layernorm_fp32_pt,f32,,normalization,288,model_slice,528148,cyclotron_perf_model,4.997,pass,5.015,,,not passed,,unavailable,,256,pass,layernorm,L0+L1+L2,aligned,16x16 + 16 + 16,pass,radiance
RP6_geglu_bf16_pt,bf16,,elementwise map,1280,model_slice,2248037,cyclotron_perf_model,11.181,pass,11.208,,,not passed,,unavailable,,512,pass,geglu,L0+L1+L2,aligned,16x16 + 16x32 + 16x32,pass,radiance
RP7_attn_full_fp16_pt,fp16,,attention,3072,model_slice,6043995,cyclotron_perf_model,27.296,pass,27.306,,,not passed,,unavailable,,1024,pass,attention_full,L0+L1+L2,aligned,16x64 + 16x64 + 16x64,pass,radiance
SY_app_contraction_f32_partial_unknown_rank3_small_dispatch_fragment_l3,f32,,contraction,288,layer,854768,cyclotron_perf_model,6.627,pass,6.635,,,not passed,,unavailable,,192,pass,matmul,L0+L1+L2,partial tile,6x16 + 32x6,pass,radiance
SY_contraction_i8_sub_tile,i8,,contraction,24,isa,6381,cyclotron_perf_model,0.08,pass,0.091,,,not passed,,unavailable,,16,pass,matmul,L0+L1+L2,sub-tile,4x4 + 2x4,pass,radiance
SY_conv_k3x3_s2x2_d1x1_pad1x1,fp16,,contraction,772,layer,1347290,cyclotron_perf_model,12.37,pass,12.516,,,not passed,,unavailable,,576,pass,conv2d,L0+L1+L2,skewed,36x16 + 1x7x7x4,pass,radiance
SY_movement_bf16_sub_tile,bf16,,movement,8,isa,3810,cyclotron_perf_model,0.064,pass,0.082,,,not passed,,unavailable,,8,pass,movement,L0+L1+L2,sub-tile,2x4,pass,radiance
SY_reduction_bf16_sub_tile,bf16,,reduction,8,isa,3665,cyclotron_perf_model,0.039,pass,0.045,,,not passed,,unavailable,,8,pass,reduce_sum,L0+L1+L2,sub-tile,2x4,pass,radiance
R0_gemm_fp32,f32,,contraction,512,isa,635292,cyclotron_perf_model,5.674,pass,5.682,,,not passed,,unavailable,,256,pass,matmul,L0+L1+L2,aligned,16x16 + 16x16,pass,radiance
R1_gemm_fp16,fp16,,contraction,1024,isa,2246671,cyclotron_perf_model,14.949,pass,14.957,,,not passed,,unavailable,,512,pass,matmul,L0+L1+L2,aligned,32x16 + 16x32,pass,radiance
R2_gemm_bf16,bf16,,contraction,512,isa,373095,cyclotron_perf_model,2.168,pass,2.176,,,not passed,,unavailable,,256,pass,matmul,L0+L1+L2,aligned,16x16 + 16x16,pass,radiance
R5_mx_tile_mxfp8,e8m0+mxfp8,,contraction,1056,isa,270229,cyclotron_perf_model,5.431,pass,5.446,,,failed,,fail,,512,pass,matmul,L0+L1+L2,skewed,32x16 + 16x32 + 1x16 + 1x16,pass,radiance
R7_mx_tile_mxfp4,e8m0+mxfp4,,contraction,2112,isa,1096899,cyclotron_perf_model,8.632,pass,8.96,,,not passed,,unavailable,,1024,pass,matmul,L0+L1+L2,skewed,32x32 + 32x32 + 1x32 + 1x32,pass,radiance
R8_flash_attention_mx,e8m0+mxfp8,,attention,2128,model_slice,173485,cyclotron_perf_model,1.806,pass,1.823,,,failed,,fail,,1024,pass,attention_mx,L0+L1+L2,skewed,16x32 + 32x32 + 32x16 + 1x16 + 1x32 + 1x16 + 1x16,pass,radiance
R9_flash_attn_mx_gqa,e8m0+mxfp8,,attention,4784,model_slice,336393,cyclotron_perf_model,3.862,pass,3.881,,,failed,,fail,,2048,pass,attention_mx,L0+L1+L2,skewed,16x32 + 64x32 + 64x32 + 1x16 + 1x64 + 2x32 + 2x16,pass,radiance
