workload,K_ir,repeated_region_ops,loop_carried_roles,n_resident_eligible_operands,n_loop_carried,flat_n_matmuls,resident_weight_bytes,avoidable_reload_bytes,kv_cache_bytes_ir,evidence
bitvla,7,772,"counter,counter,token_buffer,kv_cache,kv_cache",337,5,30,11534336,69206016,79872,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
groot_n1d7,4,5339,"counter,latent",2422,2,116,2200436736,6601310208,n/a,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
molmoact,8,1290,"counter,counter,token_buffer,kv_cache,kv_cache",489,5,34,7574913024,53024391168,262144,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
openvla,7,627,"counter,counter,token_buffer,kv_cache,kv_cache",270,5,30,6291456,37748736,221184,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
pi05,10,6542,"counter,latent",2784,2,777,14172110848,127548997632,n/a,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
rdt,5,683,"counter,latent,latent",356,3,21,393216000,1572864000,n/a,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
rdt2,5,1207,"counter,latent",562,2,26,309739520,1238958080,n/a,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
small_llama,7,557,"counter,counter,token_buffer,kv_cache,kv_cache",245,5,0,0,0,30720,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
smolvla,10,5411,"counter,latent",2278,2,302,907746304,8169716736,n/a,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
tiny_llama,7,784,"counter,counter,token_buffer,kv_cache,kv_cache",302,5,30,1228931072,7373586432,61440,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
xr0,5,883,"counter,latent",423,2,19,173412352,693649408,n/a,recovered_from_ir (loop facts + residency) x attribution (weight bytes)
