workload,op_class,shape_id,M,N,K,multiplicity,macs_per_instance,operand_b_identity,dataflow_candidates,legal_spatial_axes,legal_temporal_axes,bypass_candidates,k_reduction_needs_partial_sum,fqn
smolvla,linear_gemm,50x720x32,50,720,32,1,1152000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,linear_gemm,50x32x720,50,32,720,1,1152000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,linear_gemm,1x960x32,1,960,32,1,30720,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.state_proj
tiny_llama,batched_matmul,8x15x64,8,15,64,2,7680,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,batched_matmul,8x64x15,8,64,15,2,7680,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,batched_matmul,1x15x64,1,15,64,2,960,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,batched_matmul,1x64x15,1,64,15,2,960,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,batched_matmul,32x8x1,32,8,1,1,256,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,batched_matmul,32x1x1,32,1,1,1,32,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,linear_gemm,8x5632x2048,8,5632,2048,4,92274688,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,linear_gemm,8x2048x5632,8,2048,5632,2,92274688,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,linear_gemm,8x2048x2048,8,2048,2048,4,33554432,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,linear_gemm,1x32000x2048,1,32000,2048,2,65536000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,linear_gemm,1x5632x2048,1,5632,2048,4,11534336,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,linear_gemm,1x2048x5632,1,2048,5632,2,11534336,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,linear_gemm,8x256x2048,8,256,2048,4,4194304,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,linear_gemm,1x2048x2048,1,2048,2048,4,4194304,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
tiny_llama,linear_gemm,1x256x2048,1,256,2048,4,524288,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,attention_contraction,32x48x128,32,48,128,2,196608,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,attention_contraction,32x128x48,32,128,48,2,196608,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,attention_contraction,32x32x48,32,32,48,6,49152,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,attention_contraction,32x1x48,32,1,48,4,1536,activation,output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,32x4096x1024,32,4096,1024,4,134217728,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,32x1024x4096,32,1024,4096,2,134217728,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,32x3072x1024,32,3072,1024,2,100663296,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,32x1024x1024,32,1024,1024,2,33554432,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,30x1024x1024,30,1024,1024,1,31457280,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,1x6144x1024,1,6144,1024,1,6291456,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,1x1024x1024,1,1024,1024,2,1048576,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.model.state_projector.layers.2
xr0,linear_gemm,30x1024x32,30,1024,32,1,983040,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,30x32x1024,30,32,1024,1,983040,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,1x1024x256,1,1024,256,1,262144,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
xr0,linear_gemm,1x1024x32,1,1024,32,1,32768,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.model.state_projector.layers.0
xr0,linear_gemm,30x32x32,30,32,32,1,30720,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
