workload,op_class,shape_id,M,N,K,multiplicity,macs_per_instance,operand_b_identity,dataflow_candidates,legal_spatial_axes,legal_temporal_axes,bypass_candidates,k_reduction_needs_partial_sum,fqn
molmoact,batched_matmul,8x128x16,8,128,16,4,16384,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
molmoact,batched_matmul,1x16x128,1,16,128,4,2048,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
molmoact,batched_matmul,1x128x16,1,128,16,4,2048,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
molmoact,batched_matmul,64x8x1,64,8,1,1,512,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
molmoact,batched_matmul,64x1x1,64,1,1,1,64,batched_weight_or_state,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
molmoact,linear_gemm,8x37888x3584,8,37888,3584,4,1086324736,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,blocks.0.mlp.ff_proj
molmoact,linear_gemm,8x3584x18944,8,3584,18944,4,543162368,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,blocks.0.mlp.ff_out
molmoact,linear_gemm,1x37888x3584,1,37888,3584,4,135790592,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,blocks.0.mlp.ff_proj
molmoact,linear_gemm,8x4608x3584,8,4608,3584,4,132120576,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,blocks.0.self_attn.att_proj
molmoact,linear_gemm,8x3584x3584,8,3584,3584,4,102760448,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,blocks.0.self_attn.attn_out
molmoact,linear_gemm,1x3584x18944,1,3584,18944,4,67895296,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,blocks.0.mlp.ff_out
molmoact,linear_gemm,1x4608x3584,1,4608,3584,4,16515072,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,blocks.0.self_attn.att_proj
molmoact,linear_gemm,1x3584x3584,1,3584,3584,4,12845056,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,blocks.0.self_attn.attn_out
molmoact,linear_gemm,1x4096x3584,1,4096,3584,2,14680064,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,lm_head
openvla,linear_gemm,20x512x128,20,512,128,6,1310720,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,layers.0.self_attn.q_proj
openvla,linear_gemm,20x128x512,20,128,512,2,1310720,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,layers.0.self_attn.o_proj
openvla,linear_gemm,20x256x128,20,256,128,4,655360,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,layers.0.mlp.gate_proj
openvla,linear_gemm,20x128x256,20,128,256,2,655360,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,layers.0.mlp.down_proj
openvla,linear_gemm,1x512x128,1,512,128,8,65536,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,lm_head
openvla,linear_gemm,1x128x512,1,128,512,2,65536,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
openvla,linear_gemm,1x256x128,1,256,128,4,32768,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
openvla,linear_gemm,1x128x256,1,128,256,2,32768,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
