workload,loop_preserved,K,n_loop_invariant_operands,n_loop_carried_iter_args,n_body_defs,resident_proof,evidence
bitvla,True,7,337,5,773,337 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=7 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
groot_n1d7,True,4,2422,2,5339,2422 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=4 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
molmoact,True,8,489,5,1291,489 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=8 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
openvla,True,7,270,5,628,270 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=7 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
pi05,True,10,2784,2,6542,2784 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=10 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
rdt,True,5,356,3,683,356 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=5 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
rdt2,True,5,562,2,1207,562 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=5 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
small_llama,True,7,245,5,558,245 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=7 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
smolvla,True,10,2278,2,5419,2278 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=10 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
tiny_llama,True,7,302,5,785,302 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=7 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
xr0,True,5,423,2,883,423 operands referenced read-only in the scf.for body but defined outside the region -> loop-invariant across K=5 iterations (resident-eligible); avoidable reload = resident_bytes x (K-1),recovered_from_ir
